ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 4.3743814e-5, 4.3743814e-5, 4.3743814e-5, 4.4508215e-2, 4.3743814e-5, 6.3583165e-2, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 4.3743814e-5, 4.3743814e-5, 4.3743814e-5, 4.4508107e-2, 4.3743814e-5, 4.4508107e-2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 2.8728538e-5, 2.8728538e-5, 2.8728538e-5, 4.0568087e-2, 2.8728538e-5, 4.0568087e-2, 0.0000000, 5.2266061e-1, 1.2187784e-1, 9.9000001e-1
2, 1.9283692e-5, 1.9283692e-5, 1.9283692e-5, 3.9591681e-2, 1.9283692e-5, 3.9591681e-2, 0.0000000, 4.8978409e-1, 9.1649540e-2, 9.9000001e-1
3, 1.6811047e-5, 1.6811047e-5, 1.6811047e-5, 4.1216772e-2, 1.6811047e-5, 4.1216772e-2, 0.0000000, 1.4708453e-1, 2.7824542e-2, 9.9000001e-1
4, 1.6719774e-5, 1.6719774e-5, 1.6719774e-5, 4.1626096e-2, 1.6719774e-5, 4.1626096e-2, 0.0000000, 5.4590004e-3, 6.8396968e-3, 9.9000001e-1
5, 1.6655036e-5, 1.6655036e-5, 1.6655036e-5, 4.2040989e-2, 1.6655036e-5, 4.2040989e-2, 0.0000000, 3.8869823e-3, 6.8615573e-3, 9.9000001e-1
6, 1.6616950e-5, 1.6616950e-5, 1.6616950e-5, 4.2429928e-2, 1.6616950e-5, 4.2429928e-2, 0.0000000, 2.2919970e-3, 6.5291785e-3, 9.9000001e-1
7, 1.6596241e-5, 1.6596241e-5, 1.6596241e-5, 4.2780876e-2, 1.6596241e-5, 4.2780876e-2, 0.0000000, 1.2478244e-3, 5.8806278e-3, 9.9000001e-1
8, 1.6585671e-5, 1.6585671e-5, 1.6585671e-5, 4.3090146e-2, 1.6585671e-5, 4.3090146e-2, 0.0000000, 6.3730602e-4, 5.1978496e-3, 9.9000001e-1
9, 1.6579545e-5, 1.6579545e-5, 1.6579545e-5, 4.3383066e-2, 1.6579545e-5, 4.3383066e-2, 1.0000000, 3.6951294e-4, 4.8814472e-3, 9.9000001e-1
